transf_idx,feature_count,guess_percent,train_score,test_score,algorithm,data_type
0,96,0.6978723404255319,0.74042553191489358,0.71186440677966101,LogisticsRegression,adjustment
0,96,0.6978723404255319,0.69787234042553192,0.76271186440677963,svm,adjustment
0,50,0.7148936170212766,0.74893617021276593,0.6271186440677966,LogisticsRegression,adjustment
0,50,0.7148936170212766,0.71489361702127663,0.69491525423728817,svm,adjustment
0,30,0.7063829787234043,0.74042553191489358,0.67796610169491522,LogisticsRegression,adjustment
0,30,0.7063829787234043,0.70638297872340428,0.72881355932203384,svm,adjustment
1,96,0.5191489361702127,0.7021276595744681,0.57627118644067798,LogisticsRegression,adjustment
1,96,0.5191489361702127,0.64680851063829792,0.52542372881355937,svm,adjustment
1,50,0.5319148936170213,0.72340425531914898,0.64406779661016944,LogisticsRegression,adjustment
1,50,0.5319148936170213,0.62978723404255321,0.5423728813559322,svm,adjustment
1,30,0.502127659574468,0.69787234042553192,0.6271186440677966,LogisticsRegression,adjustment
1,30,0.502127659574468,0.65531914893617016,0.52542372881355937,svm,adjustment
2,96,0.5234042553191489,0.69787234042553192,0.6271186440677966,LogisticsRegression,adjustment
2,96,0.5234042553191489,0.68936170212765957,0.6271186440677966,svm,adjustment
2,50,0.502127659574468,0.71489361702127663,0.64406779661016944,LogisticsRegression,adjustment
2,50,0.502127659574468,0.62127659574468086,0.5423728813559322,svm,adjustment
2,30,0.5446808510638298,0.7021276595744681,0.71186440677966101,LogisticsRegression,adjustment
2,30,0.5446808510638298,0.64255319148936174,0.64406779661016944,svm,adjustment
3,96,0.7063829787234043,0.72765957446808516,0.6271186440677966,LogisticsRegression,adjustment
3,96,0.7063829787234043,0.70638297872340428,0.72881355932203384,svm,adjustment
3,50,0.7021276595744681,0.74893617021276593,0.67796610169491522,LogisticsRegression,adjustment
3,50,0.7021276595744681,0.7021276595744681,0.74576271186440679,svm,adjustment
3,30,0.7021276595744681,0.74468085106382975,0.71186440677966101,LogisticsRegression,adjustment
3,30,0.7021276595744681,0.7021276595744681,0.74576271186440679,svm,adjustment
4,96,0.5234042553191489,0.74893617021276593,0.69491525423728817,LogisticsRegression,adjustment
4,96,0.5234042553191489,0.60425531914893615,0.4576271186440678,svm,adjustment
4,50,0.5106382978723404,0.77021276595744681,0.69491525423728817,LogisticsRegression,adjustment
4,50,0.5106382978723404,0.62978723404255321,0.55932203389830504,svm,adjustment
4,30,0.5063829787234042,0.68085106382978722,0.64406779661016944,LogisticsRegression,adjustment
4,30,0.5063829787234042,0.5787234042553191,0.52542372881355937,svm,adjustment
5,96,0.5319148936170213,0.68510638297872339,0.64406779661016944,LogisticsRegression,adjustment
5,96,0.5319148936170213,0.64680851063829792,0.57627118644067798,svm,adjustment
5,50,0.5404255319148936,0.68510638297872339,0.66101694915254239,LogisticsRegression,adjustment
5,50,0.5404255319148936,0.67234042553191486,0.57627118644067798,svm,adjustment
5,30,0.5319148936170213,0.68510638297872339,0.55932203389830504,LogisticsRegression,adjustment
5,30,0.5319148936170213,0.65957446808510634,0.59322033898305082,svm,adjustment
6,96,0.548936170212766,0.81702127659574464,0.69491525423728817,LogisticsRegression,adjustment
6,96,0.548936170212766,0.78723404255319152,0.71186440677966101,svm,adjustment
6,50,0.5617021276595745,0.80851063829787229,0.76271186440677963,LogisticsRegression,adjustment
6,50,0.5617021276595745,0.68936170212765957,0.77966101694915257,svm,adjustment
6,30,0.574468085106383,0.79574468085106387,0.71186440677966101,LogisticsRegression,adjustment
6,30,0.574468085106383,0.71063829787234045,0.69491525423728817,svm,adjustment
7,96,0.5234042553191489,0.7191489361702128,0.57627118644067798,LogisticsRegression,adjustment
7,96,0.5234042553191489,0.68936170212765957,0.59322033898305082,svm,adjustment
7,50,0.5361702127659574,0.68936170212765957,0.76271186440677963,LogisticsRegression,adjustment
7,50,0.5361702127659574,0.65531914893617016,0.71186440677966101,svm,adjustment
7,30,0.5106382978723404,0.77446808510638299,0.67796610169491522,LogisticsRegression,adjustment
7,30,0.5106382978723404,0.67234042553191486,0.71186440677966101,svm,adjustment
8,96,0.5361702127659574,0.75744680851063828,0.67796610169491522,LogisticsRegression,adjustment
8,96,0.5361702127659574,0.74893617021276593,0.64406779661016944,svm,adjustment
8,50,0.5319148936170213,0.74042553191489358,0.66101694915254239,LogisticsRegression,adjustment
8,50,0.5319148936170213,0.7191489361702128,0.72881355932203384,svm,adjustment
8,30,0.5234042553191489,0.74042553191489358,0.67796610169491522,LogisticsRegression,adjustment
8,30,0.5234042553191489,0.71063829787234045,0.71186440677966101,svm,adjustment
9,96,0.5787234042553191,0.82127659574468082,0.79661016949152541,LogisticsRegression,adjustment
9,96,0.5787234042553191,0.70638297872340428,0.67796610169491522,svm,adjustment
9,50,0.5531914893617021,0.83829787234042552,0.74576271186440679,LogisticsRegression,adjustment
9,50,0.5531914893617021,0.7531914893617021,0.77966101694915257,svm,adjustment
9,30,0.574468085106383,0.7021276595744681,0.5423728813559322,LogisticsRegression,adjustment
9,30,0.574468085106383,0.74042553191489358,0.71186440677966101,svm,adjustment
10,96,0.5361702127659574,0.83829787234042552,0.81355932203389836,LogisticsRegression,adjustment
10,96,0.5361702127659574,0.74042553191489358,0.72881355932203384,svm,adjustment
10,50,0.5446808510638298,0.84680851063829787,0.72881355932203384,LogisticsRegression,adjustment
10,50,0.5446808510638298,0.72765957446808516,0.61016949152542377,svm,adjustment
10,30,0.5191489361702127,0.82127659574468082,0.74576271186440679,LogisticsRegression,adjustment
10,30,0.5191489361702127,0.72765957446808516,0.72881355932203384,svm,adjustment
11,96,0.5234042553191489,0.63404255319148939,0.64406779661016944,LogisticsRegression,adjustment
11,96,0.5234042553191489,0.65106382978723409,0.66101694915254239,svm,adjustment
11,50,0.5319148936170213,0.64255319148936174,0.61016949152542377,LogisticsRegression,adjustment
11,50,0.5319148936170213,0.64680851063829792,0.66101694915254239,svm,adjustment
11,30,0.5574468085106383,0.65957446808510634,0.57627118644067798,LogisticsRegression,adjustment
11,30,0.5574468085106383,0.66382978723404251,0.52542372881355937,svm,adjustment
12,96,0.6936170212765957,0.87234042553191493,0.88135593220338981,LogisticsRegression,adjustment
12,96,0.6936170212765957,0.81702127659574464,0.83050847457627119,svm,adjustment
12,50,0.7106382978723405,0.86382978723404258,0.9152542372881356,LogisticsRegression,adjustment
12,50,0.7106382978723405,0.81276595744680846,0.83050847457627119,svm,adjustment
12,30,0.7148936170212766,0.84680851063829787,0.9152542372881356,LogisticsRegression,adjustment
12,30,0.7148936170212766,0.81702127659574464,0.83050847457627119,svm,adjustment
13,96,0.6978723404255319,0.82978723404255317,0.84745762711864403,LogisticsRegression,adjustment
13,96,0.6978723404255319,0.85531914893617023,0.84745762711864403,svm,adjustment
13,50,0.7148936170212766,0.81276595744680846,0.84745762711864403,LogisticsRegression,adjustment
13,50,0.7148936170212766,0.8425531914893617,0.88135593220338981,svm,adjustment
13,30,0.7063829787234043,0.82127659574468082,0.84745762711864403,LogisticsRegression,adjustment
13,30,0.7063829787234043,0.83829787234042552,0.86440677966101698,svm,adjustment
14,96,0.6851063829787234,0.84680851063829787,0.79661016949152541,LogisticsRegression,adjustment
14,96,0.6851063829787234,0.77872340425531916,0.72881355932203384,svm,adjustment
14,50,0.6851063829787234,0.86382978723404258,0.79661016949152541,LogisticsRegression,adjustment
14,50,0.6851063829787234,0.79148936170212769,0.74576271186440679,svm,adjustment
14,30,0.676595744680851,0.81702127659574464,0.74576271186440679,LogisticsRegression,adjustment
14,30,0.676595744680851,0.77872340425531916,0.77966101694915257,svm,adjustment
15,96,0.6978723404255319,0.82978723404255317,0.79661016949152541,LogisticsRegression,adjustment
15,96,0.6978723404255319,0.7191489361702128,0.55932203389830504,svm,adjustment
15,50,0.6723404255319149,0.83829787234042552,0.76271186440677963,LogisticsRegression,adjustment
15,50,0.6723404255319149,0.71063829787234045,0.71186440677966101,svm,adjustment
15,30,0.6808510638297872,0.82978723404255317,0.77966101694915257,LogisticsRegression,adjustment
15,30,0.6808510638297872,0.71063829787234045,0.6271186440677966,svm,adjustment
